2023.873973
    Z       E            F 
   8  4.557E+00  2.184E+00
   8  5.240E+00  1.825E+00
   8  6.024E+00  1.517E+00
   8  6.926E+00  1.254E+00
   8  7.963E+00  1.030E+00
   8  9.155E+00  8.399E-01
   8  1.053E+01  6.803E-01
   8  1.210E+01  5.468E-01
   8  1.392E+01  4.363E-01
   8  1.600E+01  3.452E-01
   8  1.840E+01  2.709E-01
   8  2.115E+01  2.109E-01
   8  2.432E+01  1.628E-01
   8  2.797E+01  1.246E-01
   8  3.214E+01  9.463E-02
   8  3.696E+01  7.125E-02
   8  4.250E+01  5.323E-02
   8  4.886E+01  3.946E-02
   8  5.618E+01  2.906E-02
   8  6.459E+01  2.124E-02
   8  7.427E+01  1.543E-02
   8  8.539E+01  1.114E-02
   8  9.818E+01  7.998E-03
   8  1.129E+02  5.713E-03
   8  1.298E+02  4.062E-03
   8  1.492E+02  2.875E-03
   8  1.715E+02  2.028E-03
   8  1.973E+02  1.424E-03
   8  2.267E+02  9.983E-04
   8  2.608E+02  6.963E-04
   8  2.998E+02  4.851E-04
   8  3.446E+02  3.374E-04
   8  3.963E+02  2.339E-04
   8  4.557E+02  1.620E-04
   8  5.240E+02  1.119E-04
   8  6.024E+02  7.730E-05
   8  6.926E+02  5.329E-05
   8  7.963E+02  3.671E-05
   8  9.155E+02  2.527E-05
   8  1.053E+03  1.737E-05
   8  1.210E+03  1.193E-05
   8  1.392E+03  8.195E-06
   8  1.600E+03  5.623E-06
   8  1.840E+03  3.855E-06
   8  2.115E+03  2.644E-06
   8  2.432E+03  1.812E-06
   8  2.797E+03  1.241E-06
   8  3.214E+03  8.509E-07
   8  3.696E+03  5.826E-07
   8  4.250E+03  3.989E-07
   8  4.886E+03  2.730E-07
   8  5.618E+03  1.869E-07
   8  6.459E+03  1.279E-07
   8  7.427E+03  8.747E-08
   8  8.539E+03  5.985E-08
   8  9.818E+03  4.095E-08
   8  1.129E+04  2.801E-08
   8  1.298E+04  1.916E-08
   8  1.492E+04  1.310E-08
   8  1.715E+04  8.968E-09
   8  1.973E+04  6.127E-09
   8  2.267E+04  4.195E-09
   8  2.608E+04  2.865E-09
   8  2.998E+04  1.959E-09
   8  3.446E+04  1.341E-09
   8  3.963E+04  9.164E-10
   8  4.557E+04  6.266E-10
   8  5.240E+04  4.283E-10
   8  6.024E+04  2.929E-10
   8  6.926E+04  2.003E-10
   8  7.963E+04  1.369E-10
   8  9.155E+04  9.368E-11
   8  1.053E+05  6.405E-11
   8  1.210E+05  4.377E-11
   8  1.392E+05  2.994E-11
   8  1.600E+05  2.046E-11
   9  1.900E-01  2.835E-02
   9  2.185E-01  2.900E-02
   9  2.512E-01  2.964E-02
   9  2.888E-01  3.027E-02
   9  3.321E-01  3.087E-02
   9  3.817E-01  3.146E-02
   9  4.389E-01  3.201E-02
   9  5.046E-01  3.251E-02
   9  5.803E-01  3.297E-02
   9  6.671E-01  3.337E-02
   9  7.670E-01  3.370E-02
   9  8.820E-01  3.394E-02
   9  1.014E+00  3.408E-02
   9  1.166E+00  3.411E-02
   9  1.340E+00  3.401E-02
   9  1.541E+00  3.377E-02
   9  1.772E+00  3.336E-02
   9  2.037E+00  3.279E-02
