2024.125683
   Z       E         F
   8  2.998E+02  5.066E-04
   8  3.446E+02  3.565E-04
   8  3.963E+02  2.498E-04
   8  4.557E+02  1.746E-04
   8  5.240E+02  1.217E-04
   8  6.024E+02  8.477E-05
   8  6.926E+02  5.889E-05
   8  7.963E+02  4.086E-05
   8  9.155E+02  2.831E-05
   8  1.053E+03  1.958E-05
   8  1.210E+03  1.353E-05
   8  1.392E+03  9.345E-06
   8  1.600E+03  6.446E-06
   8  1.840E+03  4.442E-06
   8  2.115E+03  3.062E-06
   8  2.432E+03  2.108E-06
   8  2.797E+03  1.450E-06
   8  3.214E+03  9.987E-07
   8  3.696E+03  6.867E-07
   8  4.250E+03  4.721E-07
   8  4.886E+03  3.244E-07
   8  5.618E+03  2.230E-07
   8  6.459E+03  1.532E-07
   8  7.427E+03  1.052E-07
   8  8.539E+03  7.225E-08
   8  9.818E+03  4.962E-08
   8  1.129E+04  3.407E-08
   8  1.298E+04  2.339E-08
   8  1.492E+04  1.606E-08
   8  1.715E+04  1.103E-08
   8  1.973E+04  7.563E-09
   8  2.267E+04  5.197E-09
   8  2.608E+04  3.562E-09
   8  2.998E+04  2.445E-09
   8  3.446E+04  1.679E-09
   8  3.963E+04  1.152E-09
   8  4.557E+04  7.903E-10
   8  5.240E+04  5.421E-10
   8  6.024E+04  3.721E-10
   8  6.926E+04  2.553E-10
   8  7.963E+04  1.752E-10
   8  9.155E+04  1.202E-10
   8  1.053E+05  8.248E-11
   8  1.210E+05  5.658E-11
   8  1.392E+05  3.883E-11
   8  1.600E+05  2.664E-11
   9  1.900E-01  7.766E-04
   9  2.185E-01  8.854E-04
   9  2.512E-01  1.008E-03
   9  2.888E-01  1.146E-03
   9  3.321E-01  1.300E-03
   9  3.817E-01  1.473E-03
   9  4.389E-01  1.665E-03
   9  5.046E-01  1.877E-03
   9  5.803E-01  2.112E-03
   9  6.671E-01  2.368E-03
   9  7.670E-01  2.646E-03
   9  8.820E-01  2.945E-03
   9  1.014E+00  3.264E-03
   9  1.166E+00  3.601E-03
   9  1.340E+00  3.950E-03
   9  1.541E+00  4.308E-03
   9  1.772E+00  4.668E-03
   9  2.037E+00  5.021E-03
