1968.041096
   Z,        E,        F  
   6  3.929E+04  1.000E-33
   6  4.518E+04  1.000E-33
   6  5.195E+04  1.000E-33
   6  5.972E+04  1.000E-33
   6  6.867E+04  1.000E-33
   6  7.895E+04  1.000E-33
   6  9.078E+04  1.000E-33
   6  1.044E+05  1.000E-33
   6  1.200E+05  1.000E-33
   7  1.400E-01  1.000E-33
   7  1.610E-01  1.000E-33
   7  1.851E-01  1.000E-33
   7  2.128E-01  1.000E-33
   7  2.447E-01  1.000E-33
   7  2.813E-01  1.000E-33
   7  3.234E-01  1.000E-33
   7  3.719E-01  1.000E-33
   7  4.275E-01  1.000E-33
   7  4.916E-01  1.000E-33
   7  5.652E-01  1.000E-33
   7  6.498E-01  1.000E-33
   7  7.471E-01  1.000E-33
   7  8.590E-01  1.000E-33
   7  9.877E-01  1.000E-33
   7  1.136E+00  1.000E-33
   7  1.306E+00  1.000E-33
   7  1.501E+00  1.000E-33
   7  1.726E+00  1.000E-33
   7  1.984E+00  1.000E-33
   7  2.282E+00  1.000E-33
   7  2.623E+00  1.000E-33
   7  3.016E+00  1.000E-33
   7  3.468E+00  1.000E-33
   7  3.987E+00  1.000E-33
   7  4.584E+00  1.000E-33
   7  5.271E+00  1.000E-33
   7  6.060E+00  1.000E-33
   7  6.968E+00  1.000E-33
   7  8.011E+00  1.000E-33
   7  9.211E+00  1.000E-33
   7  1.059E+01  1.000E-33
   7  1.218E+01  1.000E-33
   7  1.400E+01  1.000E-33
   7  1.610E+01  1.000E-33
   7  1.851E+01  1.000E-33
   7  2.128E+01  1.000E-33
   7  2.447E+01  1.000E-33
   7  2.813E+01  1.000E-33
   7  3.234E+01  1.000E-33
   7  3.719E+01  1.000E-33
   7  4.275E+01  1.000E-33
   7  4.916E+01  1.000E-33
   7  5.652E+01  1.000E-33
   7  6.498E+01  1.000E-33
   7  7.471E+01  1.000E-33
   7  8.590E+01  1.000E-33
   7  9.877E+01  1.000E-33
   7  1.136E+02  1.000E-33
   7  1.306E+02  1.000E-33
   7  1.501E+02  1.000E-33
   7  1.726E+02  1.000E-33
   7  1.984E+02  1.000E-33
   7  2.282E+02  1.000E-33
   7  2.623E+02  1.000E-33
   7  3.016E+02  1.000E-33
   7  3.468E+02  1.000E-33
   7  3.987E+02  1.000E-33
   7  4.584E+02  1.000E-33
   7  5.271E+02  1.000E-33
   7  6.060E+02  1.000E-33
   7  6.968E+02  1.000E-33
   7  8.011E+02  1.000E-33
   7  9.211E+02  1.000E-33
   7  1.059E+03  1.000E-33
   7  1.218E+03  1.000E-33
   7  1.400E+03  1.000E-33
   7  1.610E+03  1.000E-33
   7  1.851E+03  1.000E-33
   7  2.128E+03  1.000E-33
   7  2.447E+03  1.000E-33
   7  2.813E+03  1.000E-33
   7  3.234E+03  1.000E-33
   7  3.719E+03  1.000E-33
   7  4.275E+03  1.000E-33
   7  4.916E+03  1.000E-33
   7  5.652E+03  1.000E-33
